wake_up_time,brush_time,morning_activity,bathing,breakfast,work_travel_time,work1,break1,work2,lunch,work3,break2,work4,home_travel_time,after_work_time,dinner_time,mediation_time,sleep_time,Opt
22115,22300,23339,26947,27955,29469,32576,38814,40962,52448,57105,59451,60390,66695,70846,74547,76950,77864,0.7052631578947369
19950,22147,22702,26237,26922,27794,30215,38527,38443,50383,53220,59358,60297,66539,68105,71386,72989,76217,0.7315789473684211
21875,22368,22901,27130,27641,29682,32549,38944,40166,51877,56224,59447,60776,66726,71250,75041,76916,79729,0.6789473684210526
18957,22086,22207,26311,26600,27655,31624,38629,39196,50151,52722,59111,60078,65535,69300,72460,73104,75413,0.7315789473684211
22318,22258,22896,26763,28196,29378,32565,38960,41755,51572,56747,59462,60957,67750,71014,75552,77305,77874,0.6789473684210526
20000,22013,22418,26693,27072,27919,30332,38508,39192,51030,54881,59398,59573,65843,69154,72472,74648,74785,0.7052631578947369
21105,22367,23205,26790,28069,29461,32860,38937,41463,52486,55899,59502,61507,66683,70990,73884,74966,79800,0.7315789473684211
19595,22014,22586,26212,26937,28296,31903,38433,37748,50675,53003,59372,58521,66231,69257,71841,74139,76739,0.7578947368421053
21533,22282,22976,26891,28125,28884,33323,38954,39975,51446,55434,59639,60541,67422,70936,75242,75141,78826,0.7315789473684211
19871,22023,22548,26114,27225,28444,30037,38492,39218,50538,54022,59290,58705,65795,67125,70263,73437,74831,0.6526315789473685
21050,22360,23187,26864,27550,29875,34221,38824,41828,51824,57095,59675,62473,67564,71962,75230,76670,78061,0.6263157894736843
19669,21936,22394,26254,26714,28557,30815,38524,37314,50336,53142,59125,60252,66241,66689,72775,73850,76751,0.7052631578947369
20884,22350,22946,27056,27312,29007,34289,38958,40373,51774,55346,59516,62383,66831,71116,74701,75120,77725,0.7315789473684211
19696,22107,22799,26575,27045,27728,31617,38572,37767,51003,53301,59211,59415,66274,67383,72632,73483,75729,0.7578947368421053
21449,22273,23027,27242,27808,29701,32748,38989,40101,52009,56297,59650,60936,66644,69477,75490,76436,79003,0.7315789473684211
20283,21909,22497,26556,26778,28677,30007,38587,37994,51131,53954,59173,57943,66366,68256,71149,73650,74943,0.6789473684210526
21324,22332,23387,27274,27927,29884,32602,38908,40880,51702,55350,59448,61879,66800,71520,73122,74805,78804,0.7315789473684211
19229,21937,22607,26259,27283,28352,30808,38680,38344,50778,53637,59399,58083,65901,68044,71911,74184,76480,0.7315789473684211
20926,22361,23107,27193,28131,28946,32768,38790,40140,51886,54917,59669,61907,67157,69513,75250,76900,79212,0.7052631578947369
19105,22199,22326,26153,26515,28155,31198,38681,38869,50465,54557,59238,58077,66473,68797,72265,74502,75370,0.7315789473684211
21195,22223,22993,26990,27637,28960,33184,38918,39925,51537,55033,59489,60717,67213,70023,75148,75115,78500,0.7315789473684211
19653,21978,22504,26241,26984,28631,31364,38596,38153,50161,53577,59365,58148,65768,68446,71583,72691,75368,0.7315789473684211
22044,22242,23325,26767,27867,28945,34686,38962,41254,51670,56657,59443,61005,67070,71493,73523,76693,79388,0.7052631578947369
19626,22137,22555,26397,26595,28592,32400,38539,39073,50568,54398,59293,60293,66404,66987,71778,73944,75081,0.7052631578947369
21899,22481,22943,27299,27392,29610,33751,38964,41667,52202,56360,59480,62090,66888,70688,73436,76105,77539,0.7315789473684211
20206,22109,22712,26142,26577,27967,31516,38580,38887,50619,53095,59204,58222,65768,68793,71751,74157,75931,0.7315789473684211
21225,22366,22944,27060,28104,28852,34325,38883,40294,51656,56991,59500,62451,67436,69467,74807,76945,78963,0.6789473684210526
20029,22035,22397,26328,27232,28190,32217,38406,38006,51014,52897,59391,59851,66475,68593,72808,72070,75845,0.7315789473684211
21684,22448,23123,27197,27576,29393,33811,38864,40677,52226,56474,59558,62420,67498,71484,75389,77283,77619,0.6526315789473685
19388,22187,22514,26644,27262,28353,32379,38639,37273,50676,53945,59247,59361,65550,67677,71422,73064,75424,0.7315789473684211
21318,22420,23279,27053,27777,29574,32441,38860,40872,51872,55279,59552,61884,67140,71374,75509,77344,78413,0.6789473684210526
19601,21996,22539,26159,27179,28081,32249,38493,38106,51213,54230,59382,59822,66460,68717,70758,74360,76447,0.7315789473684211
22280,22298,23034,26701,27539,29846,33699,38880,41122,51392,56514,59512,62519,67583,69793,74310,77256,79471,0.6789473684210526
20687,22050,22451,26684,26587,27623,30213,38505,37908,50682,52791,59399,60267,65780,67678,71269,73932,75629,0.7052631578947369
20712,22430,22926,27159,27425,28991,33370,38904,41388,52144,56135,59542,61954,66981,69899,74233,75596,77477,0.7578947368421053
20699,21920,22342,26226,27147,28057,30927,38597,37346,50305,54174,59261,58014,66370,69011,70663,73662,75942,0.6789473684210526
21778,22304,23324,27267,27488,29114,32422,38822,41596,51495,55892,59640,62566,66704,70019,74173,76225,79953,0.7052631578947369
20408,21950,22676,26409,27136,28243,30974,38606,38448,50772,52722,59113,59387,66596,69090,72065,74253,76691,0.7315789473684211
21947,22212,22814,26965,27730,29347,33406,38751,39818,51949,55159,59471,62054,66607,70358,72991,75807,77650,0.7578947368421053
19431,22186,22656,26138,27093,27675,31319,38543,38635,51074,53784,59315,59838,65815,67095,71037,73814,76822,0.7315789473684211
20844,22340,23224,26988,27308,28802,33501,38952,40677,52211,55140,59575,61191,67059,69302,75242,76863,80006,0.6789473684210526
19876,22105,22586,26176,27280,28012,30983,38679,39543,50220,53095,59322,58934,65735,66606,71046,72362,76304,0.7052631578947369
22423,22276,23241,26986,27432,29392,32872,38859,40747,51447,55175,59469,60407,67600,70489,74027,75966,77753,0.7578947368421053
19829,22192,22613,26122,26836,28149,31690,38501,37665,50953,52659,59182,58257,66097,67685,70731,73497,75157,0.6526315789473685
22246,22448,23085,26883,27534,28826,34385,38806,41346,52056,56019,59488,61438,66614,69407,74974,75398,79253,0.7315789473684211
20530,22000,22223,26184,26755,27620,30275,38681,38944,50396,54665,59146,60204,65919,68506,71693,72850,76939,0.7315789473684211
21363,22471,23156,26965,28136,29326,33231,38861,41877,52082,56198,59473,60499,67453,71240,75104,77350,78035,0.6789473684210526
19240,21967,22776,26552,26494,28055,32394,38583,38937,50304,54477,59400,59141,66024,69234,71287,74480,77076,0.7578947368421053
21782,22265,22802,26969,28108,29738,34450,38834,41435,52167,55894,59560,62222,66666,70173,73273,74735,79103,0.7315789473684211
19179,22068,22702,26469,26626,28217,30730,38556,39117,50848,52867,59177,58211,65522,66892,71054,73087,77229,0.7052631578947369
21396,22212,23267,26855,27869,29893,33863,38791,41644,51740,55535,59501,62078,67070,71445,73690,74999,77636,0.7052631578947369
19195,21925,22552,26333,27091,27749,31509,38489,37933,50184,54003,59101,59733,66015,67077,70469,74251,75419,0.7052631578947369
21018,22284,22930,26935,27583,28861,34771,38761,41840,51455,57135,59545,60657,66781,70581,74812,76979,78807,0.6526315789473685
19463,21924,22572,26656,27112,27939,31893,38463,38322,50886,53415,59298,59607,66043,67038,71181,73152,76138,0.7315789473684211
21854,22337,22895,26718,28148,29272,34663,38895,41239,51918,55546,59540,61895,67396,71036,74224,76108,79604,0.7052631578947369
19881,21909,22511,26215,26952,27950,31660,38572,38894,50620,52536,59147,58223,65597,68648,72713,73732,75274,0.6789473684210526
21127,22425,22846,27024,27804,29663,33146,38909,40615,52128,56986,59526,61734,67503,69659,73823,77114,79204,0.7052631578947369
20531,22192,22331,26140,26967,27925,31836,38482,39337,50519,53963,59300,58817,66475,67996,71522,73990,75976,0.7578947368421053
21531,22349,22865,27103,27684,28991,34305,38747,41951,52178,56832,59698,62106,67073,71592,73267,76251,79194,0.7052631578947369
20449,22162,22499,26237,26542,28073,30832,38533,39300,50704,54698,59283,59432,65792,67981,71751,73377,76124,0.7578947368421053
21043,22302,22923,26793,27663,28990,32625,38724,41792,51693,56201,59400,60561,66932,70014,74584,76452,78408,0.7315789473684211
19128,22161,22332,26480,26967,28510,31230,38442,38821,50182,52811,59276,59990,66431,67624,70541,72987,77031,0.7052631578947369
21772,22352,23243,26923,28045,29310,32793,38939,40740,51740,56785,59450,61846,67360,70389,73650,76348,77420,0.7578947368421053
19665,22097,22555,26326,26489,28705,31208,38606,38189,51229,53375,59162,58835,65816,67627,72404,73357,76492,0.7578947368421053
22002,22214,23049,27195,27664,28950,33887,38913,40738,52243,56425,59520,60540,67508,69476,74064,76326,80072,0.7315789473684211
19655,21954,22357,26575,27115,28613,30707,38431,39120,50560,54670,59328,59273,65858,67443,70264,74045,76132,0.7315789473684211
20712,22236,22949,26920,27998,29540,34077,38972,39663,51498,57134,59493,60435,67297,69555,74783,76481,78711,0.7315789473684211
20326,22135,22748,26419,27278,28444,31912,38481,37249,51070,53353,59219,60123,65405,67461,71268,73740,75564,0.7315789473684211
20769,22333,22817,27049,27676,29492,33280,38907,41672,51449,55148,59584,61163,67395,71761,73190,75400,77624,0.7052631578947369
19951,21927,22777,26244,26667,28701,30957,38408,37212,50677,54536,59113,57988,66061,67999,70862,74696,77169,0.7052631578947369
21082,22254,22815,27068,27950,29219,32536,38768,41020,51444,55391,59545,61270,67438,70091,74143,75227,78273,0.7578947368421053
20396,22145,22367,26541,26813,27631,30936,38615,38018,50364,52984,59201,59738,66248,68988,70943,73077,76803,0.7578947368421053
22175,22328,22868,26921,28033,29487,33621,38912,39672,51730,55306,59591,60662,67037,70308,73280,76575,79660,0.7315789473684211
19554,22019,22538,26581,26788,27628,30765,38647,37433,50124,53817,59399,60215,65876,68928,71148,74535,76722,0.7315789473684211
21195,22377,23312,27156,27396,28963,32908,38787,41954,51537,57066,59413,62406,67444,70627,73739,77124,79111,0.6526315789473685
20389,21989,22659,26394,26833,27809,30623,38478,37777,50489,54340,59226,58170,65894,68171,72260,74419,77208,0.7315789473684211
22083,22468,23238,27214,27390,29344,33351,38979,41246,51833,57259,59662,62002,67485,69677,75503,76582,79075,0.7052631578947369
20572,21987,22581,26476,27041,27667,31086,38496,39100,50569,53499,59173,58434,65942,68556,72075,72389,75423,0.7315789473684211
22133,22423,23156,26831,27457,28904,33053,38726,40630,52158,55048,59509,62539,67423,71618,74972,77298,79178,0.6526315789473685
20376,21996,22635,26591,27022,28481,30096,38679,39082,50727,53059,59395,58728,66305,66990,70937,72778,74921,0.6789473684210526
21520,22445,22840,27054,27307,29396,33297,38849,40870,51316,56761,59428,61771,67731,71356,74069,75668,79750,0.7052631578947369
19494,22009,22247,26651,26771,27902,30436,38400,39504,50751,53218,59118,59819,65730,66677,72262,73519,76759,0.7315789473684211
20760,22368,23249,26978,28014,29009,33529,38960,41588,52334,56242,59400,60638,66805,70732,75075,76924,78569,0.7052631578947369
20386,21932,22599,26173,27298,27685,32376,38680,37611,50432,54187,59231,57912,65484,69235,72642,72680,77396,0.7315789473684211
22152,22246,22801,27258,27387,29056,34279,38865,40188,52276,55338,59691,61747,66717,70377,74368,76823,79184,0.7315789473684211
20093,22121,22470,26296,26695,28338,31262,38536,37804,51246,52821,59149,59407,66413,67718,71299,73161,77393,0.7315789473684211
21743,22293,23285,27145,27690,29115,32838,38995,40706,51331,57115,59540,60436,66878,70431,74171,76617,78856,0.7315789473684211
19004,21986,22204,26370,26548,27837,31073,38587,39090,50592,53446,59307,58210,66257,68195,72124,73580,76557,0.7315789473684211
22291,22244,23130,26713,28142,29911,33797,38911,41164,51824,55207,59670,61856,66991,70793,74636,75198,78718,0.7578947368421053
19199,22035,22691,26375,27193,28665,31691,38697,37292,51277,54120,59312,58753,65524,67233,72502,73637,75308,0.6789473684210526
22073,22244,23060,26885,27374,29149,33002,38965,39742,52261,56602,59461,61530,67759,70993,72958,77348,77425,0.7315789473684211
19414,22160,22268,26585,27212,28490,31291,38510,38273,50722,52615,59340,58427,66330,68188,72422,72060,77061,0.7052631578947369
21654,22288,22847,27092,27588,29245,34592,38887,39610,52216,57139,59531,61410,67591,70844,73377,76990,78959,0.6789473684210526
20060,22194,22443,26398,27015,28450,31135,38420,38329,50839,54821,59153,59307,65558,67841,70907,72148,75734,0.7315789473684211
21476,22469,23015,27102,28180,29667,33641,38793,41757,51304,55246,59684,61159,66707,69498,75501,75009,77504,0.7052631578947369
20069,21905,22515,26274,26775,28352,32273,38505,38593,50802,54212,59395,60214,66049,67768,72615,73669,75399,0.7578947368421053
20916,22252,23031,26800,27402,29426,34493,38767,41962,51640,55794,59521,60835,67181,69885,74265,77159,78223,0.6789473684210526
18929,22029,22438,26495,26795,28331,31738,38637,39002,50451,53228,59204,58168,66130,66888,70853,73813,74968,0.6526315789473685
20914,22249,22946,27284,27851,29604,33162,38843,41051,51315,55008,59594,60304,67211,69900,74685,76980,78989,0.7315789473684211
18926,22089,22326,26660,26485,28516,30042,38669,37771,51190,54319,59213,58621,66599,69002,72496,73875,77368,0.7315789473684211
20956,22297,23045,27093,27515,28854,33553,38744,40379,51806,55350,59448,61963,66703,71879,73434,75526,78685,0.7315789473684211
20193,22076,22253,26189,27264,28499,31110,38699,38401,50104,52914,59365,58057,65696,68302,72007,74549,76943,0.7315789473684211
21911,22467,22997,26875,27771,28987,33081,38758,39605,51545,56032,59530,62397,67145,71711,74983,77332,78629,0.6526315789473685
19317,22078,22539,26497,26577,27947,30833,38628,37409,50194,53925,59304,59686,65522,67876,72772,73377,75290,0.7052631578947369
21383,22282,23150,26988,28161,28913,33158,38979,39878,51568,56198,59497,61034,67507,71464,74020,76415,77535,0.7315789473684211
19369,22040,22688,26531,26749,28341,32162,38509,38834,50375,52709,59367,60180,65802,68093,71358,74158,77356,0.7315789473684211
22399,22415,23369,27287,27415,28996,32670,38901,40905,51641,57008,59691,62385,67755,71154,73729,76550,79703,0.6789473684210526
19147,22017,22478,26216,26749,28045,30983,38528,37589,50175,54074,59382,59909,65781,67029,71752,73396,76808,0.7315789473684211
21151,22236,22981,27051,27337,29510,34684,38928,40729,51670,56754,59610,61700,67420,71757,75386,76521,78249,0.6789473684210526
18914,22057,22650,26488,26917,28300,31749,38683,38053,50776,53783,59242,57941,65418,67915,72177,73795,75418,0.7315789473684211
20878,22378,23354,26962,28186,29114,33743,38789,41141,51353,56190,59548,60617,66699,70251,73783,75643,78321,0.7578947368421053
19378,21962,22260,26147,27211,28455,31231,38574,38429,50352,54806,59309,59310,66507,67393,71362,73553,76511,0.7578947368421053
21361,22305,23275,27061,27396,29662,33798,38824,39823,52210,55428,59596,61875,67598,71055,74768,76785,78063,0.7315789473684211
20209,22196,22722,26242,26468,27753,32128,38659,37829,51197,54679,59365,58697,65598,67430,72037,73851,76667,0.7578947368421053
20987,22402,23337,26819,27883,29480,33747,38821,39797,51870,56559,59517,61567,67081,70764,75595,76990,79454,0.6789473684210526
20433,22194,22269,26485,26990,27998,31081,38435,39112,50864,54284,59138,58724,66381,68699,71440,73257,74783,0.7315789473684211
22109,22476,23360,26973,27973,29600,32884,38937,40378,52120,57085,59581,62153,67038,69430,73246,75499,77776,0.7315789473684211
20350,21953,22438,26497,26905,27857,30042,38491,39026,50833,54865,59274,58320,65429,67463,72274,74393,75013,0.7052631578947369
22383,22210,23400,27216,27866,29291,34799,38737,39718,51838,55364,59570,62204,66621,71928,73080,76784,77518,0.6789473684210526
19143,21952,22762,26429,27024,27645,31787,38573,38405,50230,52811,59110,58527,65849,67862,71732,74035,76844,0.7315789473684211
20817,22236,23145,27259,27789,28919,34298,38865,41974,51321,56950,59554,60622,67519,69579,73476,76907,79767,0.6526315789473685
19464,22120,22663,26601,26689,27979,32292,38524,38482,50468,53019,59276,60295,66538,69002,71984,73492,76723,0.7578947368421053
20809,22500,22919,27275,27910,28856,34667,38770,41580,51370,57101,59568,60314,66937,70157,72935,77202,79998,0.6526315789473685
20528,22054,22213,26442,26949,27660,30309,38431,38187,51074,53672,59386,60256,66299,67213,72018,74499,76948,0.7052631578947369
21371,22383,23247,26741,28117,29034,33002,38959,40180,52322,56034,59553,60652,66962,71198,74431,76992,77875,0.7315789473684211
20148,21901,22516,26468,27023,27995,30276,38453,37310,51253,53929,59289,58325,66450,66906,70484,73900,76777,0.6526315789473685
22438,22224,22950,27201,27713,29921,33585,38961,39843,51871,55355,59432,61790,66881,70627,74386,76650,78198,0.7578947368421053
20122,21975,22357,26373,27218,28049,32072,38657,38619,51145,53944,59204,59988,66240,68813,71847,74158,77010,0.7578947368421053
21050,22218,22816,27255,27412,29333,34568,38825,40033,51739,57154,59518,60683,67137,69897,75540,75081,78475,0.6789473684210526
19724,22194,22358,26135,27274,27611,30058,38590,37556,50150,54255,59345,58627,66175,69110,70875,73772,75113,0.6789473684210526
20849,22450,23077,26896,27709,29996,33336,38951,41086,52169,55361,59456,62543,66712,71523,74072,75480,79116,0.7052631578947369
19894,22076,22430,26344,27024,27877,30833,38680,39259,50393,54077,59165,59050,65650,67070,71046,72994,75905,0.7315789473684211
20807,22463,23054,26885,27337,29087,32491,38745,40358,51814,56365,59614,62508,66940,69629,73155,75626,78853,0.7315789473684211
18932,22034,22772,26540,26797,28290,31507,38431,38650,50573,54327,59216,58843,65549,69219,72290,72227,75632,0.7315789473684211
21379,22308,23100,26942,28178,28894,33821,38813,40719,52316,54924,59498,61635,67479,70045,74555,76130,79768,0.7315789473684211
20673,21914,22636,26410,26505,28077,31778,38441,37749,50974,52669,59374,59774,65955,66855,70274,74028,75832,0.6789473684210526
20974,22315,23179,27199,27757,29939,33765,38934,40562,52132,56542,59661,61886,66766,70018,74985,75522,79553,0.7052631578947369
20180,22157,22718,26455,27163,28308,30045,38659,37526,51084,52502,59366,58437,65994,69233,70501,73151,74858,0.6263157894736843
21908,22230,23344,27099,27886,28864,34667,38916,41030,52419,55392,59530,60328,66778,69350,74946,74897,78742,0.7052631578947369
20109,22173,22526,26458,27079,28461,31098,38673,39178,50974,53007,59149,58354,66352,67187,72053,72804,76971,0.7315789473684211
21270,22229,22938,27161,27360,28813,34742,38985,41191,51948,55766,59488,62588,67197,70681,74448,75678,77568,0.7052631578947369
19923,21912,22571,26391,26741,28463,31735,38649,38214,50855,53375,59166,58701,65769,68977,72834,72188,75747,0.7315789473684211
21757,22384,22861,26725,28014,29045,33624,38717,39629,52141,54937,59447,62330,67549,70824,74170,75488,79768,0.7315789473684211
19372,22108,22563,26119,26766,28594,30235,38646,39461,50155,54451,59316,57900,66408,67040,72833,74443,76241,0.6789473684210526
21579,22356,23283,26811,27373,29855,33880,38857,41008,51470,56886,59620,62387,66738,71334,74889,74989,79103,0.7315789473684211
20331,22071,22586,26517,26413,27708,30457,38419,39273,50722,53549,59324,58076,65719,67450,71896,74562,76217,0.7315789473684211
22387,22362,23206,27134,27422,29008,34326,38802,40792,51648,55313,59448,60681,66659,69747,73385,75365,79650,0.7315789473684211
19379,22087,22536,26567,26475,28473,31708,38693,37781,51095,54761,59184,59822,66541,68731,70804,73162,77013,0.7315789473684211
20892,22339,23130,27096,27695,29962,32636,38882,41169,52161,56212,59628,62274,67611,70399,74395,76976,79037,0.7315789473684211
20504,22190,22730,26239,27114,28521,31227,38528,39401,50627,54226,59160,58705,65403,67936,72517,73608,75621,0.7578947368421053
20876,22468,23016,26711,27416,29505,33276,38915,41553,52476,56466,59514,62350,66734,69738,75195,77189,77699,0.6789473684210526
19856,22119,22413,26165,26759,28112,32218,38459,37841,51109,54004,59206,58082,65694,66644,72318,74648,75241,0.6789473684210526
21384,22298,23007,26891,27764,29187,33754,38748,41443,51848,57270,59566,60611,67074,71049,74794,76933,78626,0.7052631578947369
19497,22094,22281,26434,26645,28490,32212,38586,37538,51224,54684,59263,58494,65700,68670,72335,73119,76493,0.7315789473684211
21322,22232,23055,26882,28097,28981,32727,38930,40105,52011,55857,59640,61885,67374,71433,73827,76204,79467,0.7052631578947369
19254,22126,22265,26283,26493,27819,32299,38495,39349,51231,54418,59292,59480,65695,68118,71124,72645,75772,0.7315789473684211
21584,22273,22903,27159,27765,28981,34176,38846,41249,52163,56923,59470,60641,67282,70228,73545,76691,77771,0.7578947368421053
19640,22081,22241,26296,27221,28722,32096,38627,38869,50182,52554,59118,58470,66123,67859,72382,73565,77317,0.7315789473684211
22270,22406,23082,27264,27407,29145,33862,38887,41415,51751,56213,59610,60325,66958,71191,74938,74753,79891,0.7315789473684211
20328,22133,22274,26694,26635,28356,30611,38560,37767,50305,53354,59275,58117,66510,67540,70657,73833,77130,0.7052631578947369
22248,22464,22958,26862,27541,29855,33807,38876,40866,51324,56126,59678,60830,67748,70177,73204,76475,79886,0.7315789473684211
20400,22030,22373,26109,26663,28047,31228,38632,39150,50413,53632,59344,59377,66454,67521,72827,73728,75132,0.7315789473684211
21752,22463,23336,26975,27888,29435,32763,38713,40554,51448,56573,59502,61172,67232,69958,73496,76785,78570,0.7315789473684211
19381,22090,22768,26271,27056,27607,31902,38406,37530,50905,54295,59325,59096,66498,69123,71766,72732,76127,0.7315789473684211
21135,22225,22968,27028,27875,29447,33682,38723,40715,51972,55659,59695,61768,66604,69664,75519,75258,79856,0.7052631578947369
20102,22139,22673,26372,27107,27656,30798,38673,37543,50592,53571,59302,58930,66466,67899,71635,73157,77086,0.7315789473684211
22410,22429,22935,26957,27691,29300,32441,38726,40998,52105,56065,59509,60476,66815,70152,74773,75219,79998,0.7315789473684211
19934,22027,22658,26122,27282,28112,31915,38523,37567,50300,52940,59250,59993,66026,68905,72474,72312,76614,0.7315789473684211
22151,22285,23083,27185,27850,29741,34453,38817,41228,52475,57044,59452,60438,66908,70984,73260,75135,79819,0.6789473684210526
19695,22068,22398,26220,27211,28203,31159,38699,39232,50981,53542,59319,60048,65462,66688,72817,72360,77096,0.7052631578947369
21869,22284,22867,27061,28109,28896,33312,38873,40291,51769,55963,59479,60899,66922,69706,74257,74804,79406,0.7578947368421053
19669,22193,22328,26248,26562,27774,30348,38463,38228,50112,52636,59339,59370,65448,67579,72065,72611,77114,0.6789473684210526
20704,22478,22918,27276,27532,29191,33206,39000,41697,51848,56587,59508,60972,67585,69844,73067,77062,79714,0.6789473684210526
19796,21915,22419,26399,27071,28227,30758,38474,37876,51158,54388,59367,58218,65765,67538,71460,72423,75394,0.7052631578947369
21823,22469,22889,26910,28081,28841,34589,38996,40326,51564,55805,59606,62018,67730,70319,73702,76512,78331,0.7315789473684211
19648,22152,22257,26163,26683,27903,31660,38668,38847,50848,52862,59185,58222,65475,68936,71205,72995,74986,0.7052631578947369
21521,22204,23237,26936,27692,28960,34328,38991,41734,51873,55863,59465,62424,66819,70772,73342,77282,79346,0.6789473684210526
19824,22082,22716,26183,27145,28332,30873,38436,37975,50979,54315,59283,58473,66272,68754,71705,73888,75374,0.7578947368421053
21264,22207,23376,26805,27934,28887,33485,38762,41559,51703,55976,59511,60748,66870,69566,73171,75612,80041,0.7315789473684211
20523,22195,22364,26290,26895,28727,32292,38437,37455,50964,53827,59318,58796,65803,68560,71422,72565,77047,0.7052631578947369
21059,22201,22891,26747,27935,29224,33346,38703,40204,51372,56236,59517,62406,66948,71604,73538,76588,79962,0.6789473684210526
20055,21921,22534,26175,27200,27844,30717,38693,38594,50522,53937,59198,58000,65824,68699,70679,72690,75696,0.7052631578947369
21635,22389,23106,27041,27411,29509,33020,38790,40268,52021,55216,59492,61364,66754,70143,73946,75385,77721,0.7578947368421053
20592,22010,22540,26588,27134,28745,31870,38548,38651,51204,54358,59220,59202,65631,67138,72836,72905,77393,0.7315789473684211
22400,22323,23140,27082,27377,29730,34121,38873,40604,52243,56111,59531,61537,66623,70106,73216,76824,79637,0.7052631578947369
20630,21994,22357,26680,26734,28046,31233,38636,38733,51180,53956,59259,59855,65758,67612,70657,73403,76116,0.7315789473684211
20974,22314,22929,26772,27641,29849,34504,38975,41516,52076,56949,59499,62179,66733,70222,74825,75275,79162,0.7052631578947369
19131,22199,22423,26152,26967,27925,31201,38569,37277,51082,53015,59394,57923,65590,68887,70521,73888,75753,0.6789473684210526
22205,22377,23195,27187,27334,29799,33128,38801,40504,52174,55337,59521,61511,66890,71070,73325,77034,79807,0.7052631578947369
20612,22186,22485,26544,26701,27844,30288,38593,39114,51153,54380,59308,57953,66285,66954,71544,73752,74732,0.6526315789473685
